真实浓度_logit,真实浓度_百分比,假阳性概率,假阴性概率,正确检测概率,距离阈值
-2.6262626262626263,0.06746720912569881,0.0,2.1612662379704596e-07,0.9999997838733762,0.551791204085319
-2.5757575757575757,0.07071501202714367,0.0,1.726327209948766e-08,0.9999999827367279,0.6022962545903696
-2.525252525252525,0.07410673632504733,0.0,1.1199014785319273e-09,0.9999999988800985,0.6528013050954202
-2.474747474747475,0.07764754608342478,0.0,5.895812693794841e-11,0.9999999999410418,0.7033063556004704
-2.4242424242424243,0.08134267229951789,0.0,2.5173234215519247e-12,0.9999999999974827,0.753811406105521
-2.3737373737373737,0.08519740106158838,0.0,8.71237325691348e-14,0.9999999999999128,0.8043164566105716
-2.323232323232323,0.08921706025119848,0.0,2.4431124226897794e-15,0.9999999999999976,0.8548215071156222
-2.272727272727273,0.09340700471683215,0.0,5.5487716280775363e-17,1.0,0.9053265576206724
-2.2222222222222223,0.09777259985079931,0.0,1.0203694874340236e-18,1.0,0.955831608125723
-2.1717171717171717,0.10231920350807018,0.0,1.518817598897935e-20,1.0,1.0063366586307736
-2.121212121212121,0.10705214621417715,0.0,1.8295225517240241e-22,1.0,1.0568417091358242
-2.070707070707071,0.11197670961974694,0.0,1.7830508922124934e-24,1.0,1.1073467596408744
-2.0202020202020203,0.11709810317174109,0.0,1.4057386564029592e-26,1.0,1.157851810145925
-1.9696969696969697,0.12242143898621305,0.0,8.963772384903916e-29,1.0,1.2083568606509756
-1.9191919191919191,0.12795170492445265,0.0,4.622330209724625e-31,1.0,1.2588619111560262
-1.868686868686869,0.13369373589385355,0.0,1.927349211510837e-33,1.0,1.3093669616610764
-1.8181818181818183,0.13965218341676008,0.0,6.49741207033131e-36,1.0,1.359872012166127
-1.7676767676767677,0.14583148353491507,0.0,1.7707502209756066e-38,1.0,1.4103770626711776
-1.7171717171717171,0.15223582314389064,0.0,3.900962981073082e-41,1.0,1.4608821131762282
-1.6666666666666665,0.15886910488091516,0.0,6.94622034357001e-44,1.0,1.5113871636812788
-1.6161616161616164,0.1657349107206239,0.0,9.996671282127012e-47,1.0,1.561892214186329
-1.5656565656565657,0.17283646446618905,0.0,1.1626882196836133e-49,1.0,1.6123972646913796
-1.5151515151515151,0.18017659335766978,0.0,1.092812398305427e-52,1.0,1.6629023151964302
-1.4646464646464645,0.18775768905482057,0.0,8.300002319978288e-56,1.0,1.7134073657014808
-1.4141414141414144,0.1955816682874619,0.0,5.093764897028675e-59,1.0,1.763912416206531
-1.3636363636363638,0.20364993350221924,0.0,2.5258485525150767e-62,1.0,1.8144174667115816
-1.3131313131313131,0.21196333386923713,0.0,1.0119632062865568e-65,1.0,1.8649225172166322
-1.2626262626262625,0.2205221270455694,0.0,3.2756227535985354e-69,1.0,1.9154275677216828
-1.2121212121212124,0.2293259421224281,0.0,8.566014964102093e-73,1.0,1.965932618226733
-1.1616161616161618,0.23837374421039675,0.0,1.809692584411612e-76,1.0,2.0164376687317835
-1.1111111111111112,0.24766380113907163,0.0,3.088574773637613e-80,1.0,2.066942719236834
-1.0606060606060606,0.2571936527643822,0.0,4.258199896902059e-84,1.0,2.1174477697418848
-1.0101010101010104,0.2669600833870327,0.0,4.7423842554738556e-88,1.0,2.167952820246935
-0.9595959595959593,0.27695909778815886,0.0,4.2663763668788685e-92,1.0,2.218457870751986
-0.9090909090909092,0.2871859013825026,0.0,3.1002949363095525e-96,1.0,2.268962921257036
-0.858585858585859,0.29763488497442225,0.0,1.8197789541216737e-100,1.0,2.3194679717620863
-0.808080808080808,0.3082996145772482,0.0,8.627739391086123e-105,1.0,2.3699730222671374
-0.7575757575757578,0.31917282672147035,0.0,3.3039212370666793e-109,1.0,2.4204780727721875
-0.7070707070707067,0.33024642963181167,0.0,1.0219006830599867e-113,1.0,2.4709831232772386
-0.6565656565656566,0.34151151059747936,0.0,2.5528573936977863e-118,1.0,2.5214881737822887
-0.6060606060606064,0.3529583497941958,0.0,5.150818488957676e-123,1.0,2.571993224287339
-0.5555555555555554,0.3645764407416393,0.0,8.393655290680305e-128,1.0,2.62249827479239
-0.5050505050505052,0.37635451749670706,0.0,1.1047015129317911e-132,1.0,2.67300332529744
-0.45454545454545503,0.3882805885928385,0.0,1.1742262701095971e-137,1.0,2.7235083758024903
-0.404040404040404,0.400341977640111,0.0,1.0080128560126377e-142,1.0,2.7740134263075413
-0.3535353535353538,0.4125253704018182,0.0,6.988476268292057e-148,1.0,2.8245184768125915
-0.30303030303030276,0.42481686806284763,0.0,3.91287569088762e-153,1.0,2.8750235273176425
-0.2525252525252526,0.43720204630561754,0.0,1.7693020722780655e-158,1.0,2.9255285778226927
-0.20202020202020243,0.44966601971299786,0.0,6.460941197321233e-164,1.0,2.976033628327743
-0.15151515151515138,0.462193510926849,0.0,1.9053430097300777e-169,1.0,3.026538678832794
-0.10101010101010122,0.47476892390791126,0.0,4.537640211641114e-175,1.0,3.077043729337844
