eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
42,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
42,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
42,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
43,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
43,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
43,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
43,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
44,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
44,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
44,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
44,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
45,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
45,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
45,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
45,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
46,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
46,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
46,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
46,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
47,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
47,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
47,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
47,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
48,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
48,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
48,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
48,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
49,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
49,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
49,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
49,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
50,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
50,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
